"district_name","eligible_first_vote","valid_first_vote","percent_eligible_first_vote"
"Rotenburg I – Heidekreis",168101,126097,0.949832775919732
"Duisburg I",167998,118768,0.953177257525084
"Hof",167552,125858,0.956521739130435
"Weilheim",167159,133038,0.959866220735786
"Biberach",167025,130082,0.963210702341137
"Deggendorf",166659,118391,0.966555183946488
"Altmark",165625,109455,0.969899665551839
"Bad Tölz-Wolfratshausen – Miesbach",165527,131254,0.973244147157191
"Schwarzwald-Baar",165041,123690,0.976588628762542
"Bitburg",164480,124382,0.979933110367893
"Bayreuth",163934,126171,0.983277591973244
"Nordsachsen",163916,116438,0.986622073578595
"Essen II",163326,108754,0.989966555183946
"Mettmann II",163229,123986,0.993311036789298
"Duisburg II",160204,100308,0.996655518394649
"Coburg",159654,121693,1
